id,mu_c,mu_a,sd_c,sd_a,threshold,c,a,n_learning,vignette,units,interval,valence,cause,confidence,justification,vibes_c,vibes_a,age,gender,attention_check,comments,rt_judgment,rt_confidence
5k3qm5xkqcy2ralp9nq7l8t2z7yplxt4,75,75,25,25,83,84,84,10,savings,dollar,month,positive,1,1,"Because the bank pays a bonus if you deposit at least $84 a month, which Luke did.",0,0,56,Female,Yes.,N/A,35549,19538
hcngpcnjw8wr1yvwnf00emu9za3x7jnc,25,75,25,25,83,84,84,10,funding,student,year,positive,0.531732418524871,0.617495711835335,they were both responsible equally,0.757289879931389,0.228987993138937,53,Male,Yes.,NA,17127,5683
d5bobuyxm1oa95sx5c02b9t6115n6udw,25,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.235579668760708,0.796402055968018,Chester usually averaged around this number.  The other city used more than they normally do so I would consider this the reason if blaming one town.,0.841519131924615,0.237292975442604,55,Male,Yes.,I think I got the cities backwards on the last question.  The orange city tended to use less electricity so by them using more than average when combined with the purple city they broke the limit.,20623,4924
8zoelrgr10ck4up7xy1hx8vlls103gpd,25,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.601656196459166,1,I felt like it was as accurate to the numbers as possible,0.515990862364363,0,38,Male,Yes.,NA,7126,4070
kjwezlnwxlesb32or84wbhv6k8lgfs7e,75,75,25,25,83,84,84,10,funding,student,year,positive,0.879842303736716,0.807164895440521,They met their quota to receive the money for students sent to higher learning.,0.417038052793966,0.466403839561193,57,Female,Yes.,Thanks!,63644,11254
eta1720l55j7qm8alae4odlx0tqwcd68,25,75,25,25,167,84,84,10,trucking,ton,day,negative,0.658195316961736,0.721016561964592,"Because Hammerco’s order was necessary but not sufficient.
On its own, 84 tons wouldn’t force two trips. Brick Works’ 84 tons is what tipped the scale. So Hammerco played a role, but it didn’t act alone that’s why I landed in the middle instead of going “totally.”
",0,0,64,Male,Yes.,None,17664,26206
soo0t9mxpwlu61z7ddl5dqsj662o3hom,25,75,25,25,83,84,84,10,electricity,megawatt,day,negative,1,1,Because Chester alone went over 83kw so non renewable energy would have been used no matter what,0.741852487135506,0.0120068610634648,42,Female,Yes.,NA,26176,11305
ckarcwycg0az9nwdnla2ymrf4jzm0xc2,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.839622641509434,0.960548885077187,Lisa on average said right around the 70 to 80 dollar mark. Luke barely ever saved much. So when he finally did save big it put them where they needed for the bonus.,0.976843910806175,0.0334476843910806,42,Male,Yes.,n/a,29430,5778
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,sewage,gallon,day,negative,1,1,they contributed to the pollution so they are responsible,0.66295025728988,0.0385934819897084,55,Male,Yes.,none,18175,5311
tgrwfs8erv2yc5q6mzlgns86wabpm64k,25,75,25,25,167,84,84,10,sewage,gallon,day,negative,1,0.76672384219554,Because both Huxley Steel and Huxley Lumber are responsible for polluting the river.,0.0660377358490566,0.213550600343053,62,Female,Yes.,NA,18255,13945
ayoa435csyq962rgp6spwbm90uy2qfvr,25,75,25,25,83,84,84,10,trucking,ton,day,negative,1,1,They both were over the limit so they both were responsible,1,0,41,Female,Yes.,no,31645,6692
8m4dennjxq03snletvj9q9r7t8mrrsqg,25,75,25,25,167,84,84,10,trucking,ton,day,negative,0.956527177463066,0.965588648145317,Because Hammerous(sp?) normally on average orders lest the 25 tons per day.  This is what has be shown over the last 40 days.,1,0,67,Male,Yes.,Interesting survey.  I didn't have a clue where it was going until the end.,35225,12256
kpw4212j6q3p5y65qee6uqnn1xa5cbyx,75,75,25,25,167,84,84,10,sales,ream,day,positive,0.9829897521449,0.976882745471878,"because her 84 reams were important to hitting that 168 profit line. Since the branch would've failed without her specific contribution, she’s a direct cause of the win.",0.927252144899905,0.815121544327931,23,Female,Yes.,NA,23123,5057
